ticker,cik,company_name,merged_into_cik,latest_fiscal_year
,1847360,"1895 Bancorp of Wisconsin, Inc.",1751692,2023
,1509570,"AMERICAN ASSETS TRUST, INC.",1500217,2026
,1671941,"ANGEL STUDIOS, INC.",1865200,2024
,1289244,ASSURED GUARANTY LTD.,1273813,2025
,1990550,"Ambrx Biopharma, Inc.",1836056,2023
,1716558,American Homes 4 Rent,1562401,2025
,1801075,American National Group Inc,1039828,2021
,1807166,Amesite Inc.,1707258,2025
,922864,Apartment Investment and Management Company,1820878,2026
,1910950,Atlas Energy Solutions Inc.,1984060,2022
,90144,BERKSHIRE HATHAWAY ENERGY COMPANY,1081316,2026
,1906364,BOXABL     Inc.,1816937,2025
,2050229,Blackstone Infrastructure Strategies L.P.,2030772,2025
,1525221,Bristow Group Inc.,73887,2025
,1962738,"CASI PHARMACEUTICALS, INC.",895051,2025
,18672,CLECO CORPORATE HOLDINGS LLC,1089819,2026
,1127371,COMMUNITY WEST BANCSHARES,1051343,2025
,1300485,CUBESMART,1298675,2026
,1042773,"CenterPoint Energy, Inc.",1130310,2025
,2037400,"China Automotive Systems, Inc.",1157762,2025
,885975,"Cinemark Holdings, Inc.",1385280,2025
,831001,Citigroup Inc,200245,2025
,2115119,"Columbia Financial, Inc.",1723596,2026
,23632,"Consolidated Edison, Inc",1047862,2026
,1494877,"DIGITAL REALTY TRUST, INC.",1297996,2026
,1883685,DRAFTKINGS INC.,1772757,2025
,2119322,Digimarc CORP,1438231,2026
,92103,EDISON INTERNATIONAL,827052,2026
,2104052,ENVIRI CORPORATION,45876,2025
,54507,"EVERGY, INC.",1711269,2026
,27879,EXELON CORPORATION,1109357,2026
,2115436,Exxon Mobil Corporation,34088,2026
,1901876,FEDERAL REALTY INVESTMENT TRUST,34903,2026
,1057706,FIRST BANCORP,811589,2025
,1769267,"First Seacoast Bancorp, Inc.",1943802,2022
,47129,"HERTZ GLOBAL HOLDINGS, INC.",1657853,2026
,1495491,Healthcare Realty Trust Inc,1360604,2022
,1496264,"Hudson Pacific Properties, Inc.",1482512,2026
,1089748,Huntsman Corporation,1307954,2026
,1607302,"Independence Realty Trust, Inc.",1466085,2025
,1665650,JPMORGAN CHASE & CO,19617,2025
,1720250,"Kandi Technologies Group, Inc.",1316517,2025
,2059653,"LAKE SHORE BANCORP, INC.",1341318,2025
,2006191,Lionsgate Studios Corp.,2052959,2024
,1778343,"Lucent, Inc.",1726079,2022
,1524607,"MEDICAL PROPERTIES TRUST, INC.",1287865,2026
,61339,"MGE Energy, Inc.",1161728,2026
,1581776,"MID-AMERICA APARTMENT COMMUNITIES, INC.",912595,2025
,37634,"NEXTERA ENERGY, INC.",753308,2026
,1021635,OGE ENERGY CORP.,74145,2025
,2082866,"PINNACLE FINANCIAL PARTNERS, INC.",1115055,2026
,1542574,"PROSPER MARKETPLACE, INC.",1416265,2026
,81100,PUGET ENERGY INC /WA,1085392,2026
,1479362,"Profusa, Inc.",1859807,2024
,1045610,"Prologis, Inc.",1045609,2026
,1806931,RAYONIER INC.,52827,2026
,1066247,REGENCY CENTERS CORPORATION,910606,2026
,1492869,SL GREEN REALTY CORP,1040971,2026
,1210708,"STAR EQUITY HOLDINGS, INC.",707388,2025
,1688852,Safehold Inc.,1095651,2022
,3146,Spire Inc.,1126956,2026
,22767,"TXNM Energy, Inc.",1108426,2026
,2143673,URANIUM     ROYALTY CORP.,1711570,2026
,1681169,URBAN EDGE PROPERTIES,1611547,2026
,1047166,"United Rentals, Inc.",1067701,2025
,2020795,Uniti Group Inc.,1620280,2025
,2074176,"Viper Energy, Inc.",1602065,2025
,1414475,"WESTERN MIDSTREAM PARTNERS, LP",1423902,2026
,1906133,iCoreConnect Inc.,1408057,2024
