ticker,cik,company_name,sic,sic_description,latest_fiscal_year,period_end
,2178,"ADAMS RESOURCES & ENERGY, INC.",,,2023,2023-12-31
,6769,APACHE CORP,,,2023,2023-12-31
,7332,SOUTHWESTERN ENERGY COMPANY,,,2023,2023-12-31
,9984,BARNES GROUP INC.,,,2023,2023-12-31
,29952,"CHINA CHANGJIANG MINING & NEW ENERGY COMPANY, LTD.",,,2023,2023-12-31
,54381,KAMAN CORPORATION,,,2023,2023-12-31
,59440,VECTOR GROUP LTD.,,,2023,2023-12-31
,61398,Tellurian Inc.,,,2023,2023-12-31
,65759,"MICROPAC INDUSTRIES, INC.",,,2023,2023-11-30
,75208,"Overseas Shipholding Group, Inc",,,2023,2023-12-31
,84129,Rite Aid Corporation,,,2023,2023-03-04
SFES,86115,SAFEGUARD SCIENTIFICS INC,6799,"Investors, NEC",2023,2023-12-31
,93676,The L.S. Starrett Company,,,2023,2023-06-30
,98338,"TSR, INC.",,,2023,2023-05-31
,99250,"Transcontinental Gas Pipe Line Company, LLC",,,2023,2023-12-31
,101778,Marathon Oil Corporation,,,2023,2023-12-31
,110019,Northwest Pipeline LLC,,,2023,2023-12-31
,319458,Enservco Corporation,,,2023,2023-12-31
,351817,"SilverBow Resources, Inc.",,,2023,2023-12-31
,356590,"Global Tech Industries Group, Inc.",,,2023,2023-12-31
,700764,"Victory     Clean Energy, Inc.",,,2023,2023-12-31
,701288,Atrion Corporation,,,2023,2023-12-31
,701374,Six Flags Entertainment Corp/OLD,,,2023,2023-12-31
,708818,"NEXTGEN HEALTHCARE, INC.",,,2023,2023-03-31
,711772,CAMBRIDGE BANCORP,,,2023,2023-12-31
,719274,"Gresham Worldwide, Inc.",,,2023,2023-12-31
,719494,"Inrad Optics, Inc.",,,2023,2023-12-31
,723733,"MULTI SOLUTIONS II, INC.",,,2023,2024-01-31
,730255,CalAmp Corp.,,,2023,2023-02-28
,741516,AMERICAN NATIONAL BANKSHARES INC.,,,2023,2023-12-31
,743758,"AiADVERTISING, INC.",,,2023,2023-12-31
,745543,"PETRO USA, INC.",,,2023,2023-06-30
,748790,"GLOBAL CLEAN ENERGY HOLDINGS, INC.",,,2023,2023-12-31
,752294,ELECTRONIC SYSTEMS TECHNOLOGY INC,,,2023,2023-12-31
,764195,VBI Vaccines Inc/BC,,,2023,2023-12-31
,766404,"MULTI SOFT II, INC",,,2023,2024-01-31
,768216,"COYNI, INC.",,,2023,2023-12-31
,768835,"BIG LOTS, INC.",,,2023,2024-02-03
,790179,PRESTIGE CAPITAL CORPORATION,,,2023,2023-12-31
HSTC,797564,"HST Global, Inc.",2834,Pharmaceutical Preparations,2023,2023-12-31
,806279,"CODORUS VALLEY BANCORP, INC.",,,2023,2023-12-31
,809248,"CARROLS RESTAURANT GROUP, INC.",,,2023,2023-12-31
,811212,"THERMOGENESIS HOLDINGS, INC.",,,2023,2023-12-31
,811240,"BIOLASE, INC.",,,2023,2023-12-31
,811532,CEDAR FAIR L P,,,2023,2023-12-31
,811808,"SUMMIT FINANCIAL GROUP, INC.",,,2023,2023-12-31
,811868,"ECRID, INC.",,,2023,2023-03-31
,819050,"FRESH TRACKS THERAPEUTICS, INC.",,,2023,2023-12-31
,823546,"RocketFuel Blockchain, Inc.",,,2023,2023-03-31
,828530,ADMIRAL FINANCIAL CORP.,,,2023,2025-06-30
,830524,CHASE CORPORATION,,,2023,2023-08-31
,830656,"PRESSURE BIOSCIENCES, INC.",,,2023,2023-12-31
,835357,EQUITABLE FINANCIAL LIFE INSURANCE COMPANY OF AMERICA,,,2023,2023-12-31
,837852,"IDEANOMICS, INC.",,,2023,2023-12-31
,846901,LAKELAND BANCORP INC,,,2023,2023-12-31
,850460,ENCORE WIRE CORPORATION,,,2023,2023-12-31
,855787,"TRULEUM, INC.",,,2023,2023-12-31
