cik,entity_name,tag,fiscal_year_raw,form,accn,period_end
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",AllocatedShareBasedCompensationExpense,1215,10-K,0000051644-16-000056,2013-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",AllocatedShareBasedCompensationExpense,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",AllocatedShareBasedCompensationExpense,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",CashAndCashEquivalentsAtCarryingValue,1215,10-K,0000051644-16-000056,2012-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",CashAndCashEquivalentsAtCarryingValue,1215,10-K,0000051644-16-000056,2013-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",CashAndCashEquivalentsAtCarryingValue,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",CashAndCashEquivalentsAtCarryingValue,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",DepreciationDepletionAndAmortization,1215,10-K,0000051644-16-000056,2013-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",DepreciationDepletionAndAmortization,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",DepreciationDepletionAndAmortization,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",FiniteLivedIntangibleAssetsNet,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",FiniteLivedIntangibleAssetsNet,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",Goodwill,1215,10-K,0000051644-16-000056,2013-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",Goodwill,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",Goodwill,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2013-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2014-03-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2014-06-30
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2014-09-30
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2015-03-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2015-06-30
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2015-09-30
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",IncomeTaxExpenseBenefit,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",LongTermDebtCurrent,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",LongTermDebtCurrent,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",LongTermDebtNoncurrent,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",LongTermDebtNoncurrent,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetCashProvidedByUsedInOperatingActivities,1215,10-K,0000051644-16-000056,2013-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetCashProvidedByUsedInOperatingActivities,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetCashProvidedByUsedInOperatingActivities,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLoss,1215,10-K,0000051644-16-000056,2013-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLoss,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLoss,1215,10-K,0000051644-16-000056,2015-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLossAvailableToCommonStockholdersBasic,1215,10-K,0000051644-16-000056,2013-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLossAvailableToCommonStockholdersBasic,1215,10-K,0000051644-16-000056,2014-03-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLossAvailableToCommonStockholdersBasic,1215,10-K,0000051644-16-000056,2014-06-30
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLossAvailableToCommonStockholdersBasic,1215,10-K,0000051644-16-000056,2014-09-30
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLossAvailableToCommonStockholdersBasic,1215,10-K,0000051644-16-000056,2014-12-31
51644,"INTERPUBLIC GROUP OF COMPANIES, INC.",NetIncomeLossAvailableToCommonStockholdersBasic,1215,10-K,0000051644-16-000056,2014-12-31
