ticker,price,ma_200,market_cap,as_of
A,154.07,131.41,43510000000,2026-08-26
AAPL,313.45,282.12,4570000000000,2026-08-27
ABEV,2.885,2.9,45830000000,2026-08-26
ABG,209.89,214.98,3770000000,2026-08-27
ABT,115.17,106.94,199290000000,2026-08-26
ACLS,122.43,115.82,3780000000,2026-08-27
ACN,181.94,204.86,111340000000,2026-08-26
ACU,61.72,44.57,236620000,2026-08-27
AEIS,280.68,296.81,11240000000,2026-08-27
AEO,17.15,19.79,2870000000,2026-08-27
AER,149.18,143.21,23040000000,2026-08-27
AES,14.73,14.57,10510000000,2026-08-27
AG,20.99,19.4,10450000000,2026-08-27
AGCO,110.94,114.49,7770000000,2026-08-26
AGNC,10.91,10.75,12930000000,2026-08-27
AGRO,11.03,10.37,1590000000,2026-08-26
AGX,454.0,510.94,6360000000,2026-08-27
AGYS,114.5,95.2,3220000000,2026-08-26
AIT,335.64,293.62,12320000000,2026-08-27
ALC,72.83,74.65,35530000000,2026-08-26
ALG,164.79,171.43,2010000000,2026-08-27
ALRM,56.76,48.73,2786361344,2026-08-26
AMAT,476.84,400.45,378420000000,2026-08-27
AMD,478.52,334.44,781170000000,2026-08-27
AMPH,21.98,22.65,934980000,2026-08-26
AMZN,257.0,238.6,2770000000000,2026-08-27
ANET,203.0,150.17,256030000000,2026-08-27
ANF,143.34,94.5,6370000000,2026-08-27
AOS,62.96,65.39,8560000000,2026-08-26
APEI,46.01,47.69,842050000,2026-08-27
APTV,46.35,67.61,9620000000,2026-08-26
ARCB,139.09,111.22,3110000000,2026-08-27
ARIS,20.64,17.13,4250000000,2026-08-27
ASIC,26.69,20.75,1280000000,2026-08-27
ASTE,43.98,51.8,1010000000,2026-08-27
ATAT,35.67,36.78,4900000000,2026-08-26
ATI,212.86,154.71,28990000000,2026-08-27
ATMU,48.13,54.5,3930000000,2026-08-26
ATRO,74.5,70.94,3204175360,2026-08-26
AVO,13.04,12.82,1150000000,2026-08-26
AYI,339.95,320.16,10110000000,2026-08-26
BABA,119.83,137.07,273350000000,2026-08-27
BAM,52.5,49.2,83790000000,2026-08-27
BBSI,33.97,33.75,823270000,2026-08-27
BF-B,28.18,27.26,12930000000,2026-08-26
BNED,12.51,9.91,433390000,2026-08-27
BORR,4.4,4.76,1360000000,2026-08-27
BP,42.5,40.55,109770000000,2026-08-27
BRC,93.07,85.43,4380000000,2026-08-26
BUKS,4.73,3.516,302402656,2026-08-08
BWA,65.1,56.82,13260000000,2026-08-26
BWMX,16.33,16.83,644790000,2026-08-27
BWXT,153.35,193.88,14050000000,2026-08-26
BXC,82.77,61.61,650590000,2026-08-27
CAAP,23.85,25.78,3900000000,2026-08-27
CAE,25.02,27.61,8010000000,2026-08-27
CAMT,146.66,150.66,6844355072,2026-08-26
CARG,36.2,33.97,3220000000,2026-08-27
CART,51.51,41.86,11920000000,2026-08-27
CAT,812.85,766.23,373650000000,2026-08-27
CAVA,67.77,71.49,7920000000,2026-08-27
CBT,84.58,76.82,4370000000,2026-08-27
CCJ,107.36,105.0,46750000000,2026-08-27
CCLD,2.41,2.73,102410000,2026-08-27
CDE,21.41,18.72,22010000000,2026-08-27
CDNS,335.21,327.06,92310000000,2026-08-26
CDRE,31.18,35.59,1340000000,2026-08-27
CELH,35.34,38.2,8942258176,2026-08-26
CENT,44.24,37.8,2770000000,2026-08-26
CENX,43.96,48.92,4350000000,2026-08-27
CF,127.26,106.03,19259289600,2026-08-26
CGNX,61.72,52.72,10380000000,2026-08-27
CHKP,129.52,153.43,13224074240,2026-08-26
CHT,43.17,42.83,33488893952,2026-08-26
CIEN,387.66,370.35,54874406912,2026-08-26
CLB,12.04,15.15,552450000,2026-08-26
CLBT,11.29,14.91,2831373312,2026-08-26
CLH,308.48,278.23,16283810816,2026-08-26
CMI,572.67,592.59,78836318208,2026-08-26
CMT,25.4,22.09,217510000,2026-08-27
COLM,58.94,58.88,3017326592,2026-08-26
COO,72.58,73.41,14160000000,2026-08-27
COST,942.22,959.85,417850000000,2026-08-27
CPA,133.47,130.84,5460000000,2026-08-27
CR,206.11,194.64,11910000000,2026-08-27
CRH,96.2,112.16,64000364544,2026-08-26
CRS,483.7,427.17,23970000000,2026-08-27
CRUS,110.34,140.28,5530000000,2026-08-27
CSPX.L,828.03,,,2026-08-27
CSX,51.76,42.64,95880000000,2026-08-27
CTSH,63.06,63.09,28405012480,2026-08-26
CVCO,577.37,561.22,4440000000,2026-08-27
CWCO,30.29,33.1,485030000,2026-08-27
CWST,93.43,92.05,5945889792,2026-08-26
CXDO,6.27,7.09,208500000,2026-08-27
DAN,30.16,29.76,3244512768,2026-08-26
DAR,62.58,52.28,9875306496,2026-08-26
DASH,236.93,187.65,102660000000,2026-08-27
DCI,93.26,91.19,10781466624,2026-08-26
DDL,2.34,2.44,505390000,2026-08-27
DIDIY,3.84,4.24,17310000000,2026-08-27
DINO,96.52,63.96,17160000000,2026-08-27
DIOD,92.95,78.07,4280505856,2026-08-26
DIS,111.25,103.36,192093913088,2026-08-26
DKS,129.83,210.27,11620000000,2026-08-27
DLO,15.53,13.37,4569999360,2026-08-26
DMC,31.56,35.75,1490000000,2026-08-26
DRD,31.23,28.57,2710000000,2026-08-27
