ticker,cik,company_name,merged_from_ciks,exchange,sic,sic_description,taxonomy,filing_form,reporting_currency,fiscal_year_end,latest_fiscal_year,period_end,gate0_pass,gate0_status,gate0_not_evaluable,imputed_fields,resolution_basis,resolution_basis_goodwill,resolution_basis_intangibles,carried_forward_fields,carry_forward_age_days,sbc_unverified,fcf_after_sbc_multiple,tangible_book,income_quality,fcf,fcf_after_sbc,sbc_pct_revenue,net_cash,effective_tax,ni_vs_oi,acq_intensity,bs_acq_intensity,acq_cf_bs_disagreement,buyback_pct_fcf,fcf_per_share,revenue,net_income,operating_income,ocf,capex,capex_broken,capex_suspect,capex_vs_dep_amort,ttm_fcf_divergence,ttm_suspect,ttm_unavailable,net_margin,income_quality_suspect,operating_margin_2y_ago,sbc,equity,goodwill,intangibles,cash,total_debt,shares_diluted,fail_tangible_book,test_tangible_book,fail_income_quality,test_income_quality,fail_fcf,test_fcf,fail_fcf_after_sbc,test_fcf_after_sbc,fail_sbc,test_sbc,warn_sbc,fail_ni_over_oi,test_ni_vs_oi,fail_tax_anomaly,test_tax_anomaly,warn_inorganic,tangible_book_yrs_negative,growth_basis,short_history,revenue_cagr_3y,revenue_cagr_5y,fcf_per_share_cagr_3y,fcf_per_share_cagr_5y,fcf_per_share_earliest,fcf_per_share_latest,fcf_per_share_delta_abs,fcf_inflection,fcf_inflection_years,operating_margin_latest,operating_margin_5y_ago,operating_margin_delta,income_quality_3y_avg,income_quality_direction,ttm_revenue,ttm_net_income,ttm_ocf,ttm_capex,ttm_sbc,ttm_fcf_after_sbc,revenue_growth_yoy_q1,revenue_growth_yoy_q2,revenue_growth_yoy_q3,revenue_growth_yoy_q4,revenue_accel_4q,quarters_of_accelerating_revenue,fcf_growth_yoy_q1,fcf_growth_yoy_q2,fcf_growth_yoy_q3,fcf_growth_yoy_q4,fcf_accel_4q,quarters_of_accelerating_fcf,acq_disagreement,acquisitions,buybacks,dep_amort,dividends,gi_delta,operating_margin,pretax_income,sec_download_date,source_tag_capex,source_tag_equity,source_tag_goodwill,source_tag_intangibles,source_tag_net_income,source_tag_ocf,source_tag_operating_income,source_tag_sbc,tax_expense,ttm_acquisitions,ttm_buybacks,ttm_dep_amort,ttm_dividends,ttm_operating_income,ttm_pretax_income,ttm_shares_diluted,ttm_tax_expense,price,ma_200,as_of,market_cap,market_cap_derived,pct_vs_200ma,momentum_not_evaluated,drawdown_undiagnosed,momentum_unknown,fwd_trail_ratio,adjusted_eps_guard,operating_margin_delta_2y,margin_swing_unverified,tier2_commodity,rejected_because,ev,p_fcf_after_sbc,ev_fcf_after_sbc
CART,1579091,MAPLEBEAR INC.,"",Nasdaq,7389,"Services-Business Services, NEC",us-gaap,10-Q,USD,1231,2025,2025-12-31,true,pass,"","",reported,reported,reported,"",,false,,2054000000.0,2.1722595078299776,910000000.0,558000000.0,0.09406734366648851,,0.1960431654676259,0.8975903614457831,0.028327097808658473,0.025387493319080707,true,2.4838709677419355,1.995558273520229,3742000000.0,447000000.0,498000000.0,971000000.0,61000000.0,false,false,0.6703296703296703,false,false,true,0.11945483698556922,false,-0.7041420118343196,352000000.0,2518000000.0,393000000.0,71000000.0,637000000.0,,279621000.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,false,1,3y,false,0.1362252637899597,,-0.027236207190124873,,,1.995558273520229,,false,2,0.13308391234633885,,,1.1047531386978473,rising,,,,,,,0.11057108140947752,0.10211267605633803,0.13600891861761427,0.14113785557986872,0.012559656507244981,2,,,-0.1,,,0,false,106000000.0,1386000000.0,91000000.0,,95000000.0,0.13308391234633885,556000000.0,2026-08-25,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,IntangibleAssetsNetExcludingGoodwill,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,ShareBasedCompensation,109000000.0,,,,,,,,,51.51,41.86,2026-08-27,11920000000.0,false,0.23053033922599137,false,false,false,,false,0.8372259241806584,true,false,"",,,
EBS,1367644,EMERGENT BIOSOLUTIONS INC.,"",NYSE,2834,Pharmaceutical Preparations,us-gaap,10-Q,USD,1231,2025,2025-12-31,true,pass,"","",reported,reported,reported,"",,false,,86100000.0,3.2433460076045626,156800000.0,140600000.0,0.02180643424417822,-366700000.0,0.3647342995169082,0.5254745254745254,,-0.08749495221429533,false,0.1770981507823613,2.4797178130511464,742900000.0,52600000.0,100100000.0,170600000.0,13800000.0,false,true,0.1440501043841336,false,false,true,0.0708036074841836,false,-0.692271037834747,16200000.0,522600000.0,0.0,436500000.0,205400000.0,572100000.0,56700000.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,false,1,5y,false,-0.12724112156770784,-0.13738371503844748,,-0.17258151514610842,1.4198473282442747,2.4797178130511464,1.0598704848068716,false,2,0.13474222641001482,0.2788993185032789,-0.1441570920932641,1.0688800310911117,rising,,,,,,,-0.44680015704750686,-0.21341048332198775,-0.2974797479747975,0.6628814762242725,0.3244975635162528,1,,,-1.445945945945946,,,0,false,,24900000.0,95800000.0,,-65000000.0,0.13474222641001482,82800000.0,2026-08-25,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,IntangibleAssetsNetExcludingGoodwill,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,ShareBasedCompensation,30200000.0,,,,,,,,,5.97,9.19,2026-08-27,306100000.0,false,-0.35038084874863984,false,true,false,,false,0.8270132642447618,true,false,"",,,
SNDK,2023554,Sandisk Corporation,"",Nasdaq,3572,Computer Storage Devices,us-gaap,10-K,USD,628,2026,2026-07-03,true,pass,"",intangibles,never_acquired,reported,never_acquired,"",,false,,10742000000.0,1.0208169334382926,11494000000.0,11262000000.0,0.011457921770051362,4762000000.0,0.12168702466005993,0.9228347727823069,,,false,0.40170484816196056,72.65806451612903,20248000000.0,11433000000.0,12389000000.0,11671000000.0,177000000.0,false,false,,false,false,true,0.5646483603318846,false,-0.07023863124718595,232000000.0,15736000000.0,4994000000.0,0.0,4762000000.0,0.0,155000000.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,,0,insufficient,true,0.49285190975588256,,,,,72.65806451612903,,false,1,0.61186290003951,,,0.47648335406417885,rising,,,,,,,,,0.6124733475479744,2.510324483775811,,1,,,,,,0,false,,4524000000.0,,,,0.61186290003951,13017000000.0,2026-08-25,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,ShareBasedCompensation,1584000000.0,,,,,,3689000000.0,,800000000.0,1499.37,958.49,2026-08-27,219540000000.0,false,0.5643042702584272,false,false,false,,false,0.682101531286696,true,false,"",,,
ZIM,1654126,ZIM INTEGRATED SHIPPING SERVICES LTD.,"",NYSE,4412,Deep Sea Foreign Transportation of  Freight,ifrs-full,20-F,USD,1231,2025,2025-12-31,true,pass,"","goodwill,intangibles",never_acquired,never_acquired,never_acquired,"",,false,,4020900000.0,4.775700934579439,2081800000.0,2081600000.0,0.000028967874627038616,961600000.0,0.26879271070615035,0.47391732283464566,,,false,,17.281333003126157,6904200000.0,481500000.0,1016000000.0,2299500000.0,217700000.0,false,true,0.16927144078998524,false,false,true,0.06974015816459546,false,-0.48642051838363487,200000.0,4020900000.0,0.0,0.0,1051700000.0,90100000.0,120453671.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,,0,5y,false,-0.18086377095318473,0.11581217000863853,-0.2886979474778749,0.1558676633699645,3.53773,17.281333003126157,13.743603003126157,false,7,0.14715680310535617,0.18087531628128367,-0.0337185131759275,2.046194955900271,rising,,,,,,,,,,,,,,,,,,,false,,,1286100000.0,515600000.0,,0.14715680310535617,658500000.0,2026-08-25,PurchaseOfPropertyPlantAndEquipmentIntangibleAssetsOtherThanGoodwillInvestmentPropertyAndOtherNoncurrentAssets,EquityAttributableToOwnersOfParent,,,ProfitLoss,CashFlowsFromUsedInOperatingActivities,ProfitLossFromOperatingActivities,AdjustmentsForSharebasedPayments,177000000.0,,,,,,,,,28.08,24.16,2026-08-26,3380000000.0,false,0.16225165562913899,false,false,false,,false,0.633577321488991,true,false,"",,,
XZO,1873951,"Exzeo Group, Inc.","",NYSE,7372,Services-Prepackaged Software,us-gaap,10-K,USD,1231,2025,2025-12-31,true,pass,"","goodwill,intangibles",never_acquired,never_acquired,never_acquired,"",,false,,254156000.0,1.2120750703935999,97454000.0,94818000.0,0.012148585123052816,,0.24972799477749974,0.7807245966600622,,,false,0.01571431584720201,1.1826969851941476,216980000.0,82749000.0,105990000.0,100298000.0,2844000.0,false,false,1.1791044776119404,false,false,true,0.3813669462623283,false,0.02891331665402511,2636000.0,254156000.0,0.0,0.0,305372000.0,,80171000.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,,0,insufficient,true,,,,,,1.1826969851941476,,false,3,0.48847820075583004,,,0.9240631634351523,rising,,,,,,,,,,,,0,,,,,,0,false,,1490000.0,2412000.0,,,0.48847820075583004,110292000.0,2026-08-25,PaymentsToAcquireProductiveAssets,StockholdersEquity,,,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivitiesContinuingOperations,OperatingIncomeLoss,ShareBasedCompensation,27543000.0,,,,,,,,,17.53,,2026-08-27,1580000000.0,false,,false,false,true,,false,0.4595648841018049,true,false,"",,,
YMM,1838413,Full Truck Alliance Co. Ltd.,"",NYSE,7372,Services-Prepackaged Software,us-gaap,20-F,USD,1231,2025,2025-12-31,true,pass,"","",reported,reported,reported,"",,false,,5110890000.0,1.0376309516341509,643086000.0,602822000.0,0.022543904735989287,,0.17244207717505852,1.0754614192299194,-0.012047417002887976,0.11306050415839411,true,0.008342429440199594,0.028804330368550013,1786026000.0,637640000.0,592899000.0,661635000.0,18549000.0,false,false,1.2969514753181373,false,false,true,0.35701607927320206,false,0.11823415052894691,40264000.0,5794825000.0,575627000.0,108308000.0,867446000.0,,20928172684.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,true,FAIL,false,PASS,true,0,insufficient,false,0.22302900514337654,,,,,0.028804330368550013,,false,3,0.33196549210369836,,,1.002551978137492,rising,,,,,,,,,,,,,,,,,,,true,-21517000.0,5029000.0,14302000.0,203791000.0,201929000.0,0.33196549210369836,770508000.0,2026-08-25,PaymentsToAcquireProductiveAssets,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,Goodwill,FiniteLivedIntangibleAssetsNet,ProfitLoss,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,ShareBasedCompensation,132868000.0,,,,,,,,,8.76,9.47,2026-08-27,9090000000.0,false,-0.07497360084477306,false,true,false,,false,0.21373134157475143,false,false,"",,,
KNSA,1730430,"Kiniksa Pharmaceuticals International, plc","",Nasdaq,2834,Pharmaceutical Preparations,us-gaap,10-Q,USD,1231,2025,2025-12-31,true,pass,"",goodwill,never_acquired,never_acquired,reported,"",,false,,552356000.0,2.3385306329972035,136417000.0,99414000.0,0.054611815267635234,,0.336037718863933,0.7641056189378537,,,false,,1.2587391868449131,677564000.0,59005000.0,77221000.0,137985000.0,1568000.0,false,true,,false,false,true,0.08708402453495168,false,-0.09322908765295512,37003000.0,567606000.0,0.0,15250000.0,165596000.0,,78979030.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,,0,insufficient,false,0.4545349194420236,,,,-3.268338748217675,1.2587391868449131,4.527077935062588,true,1,0.1139685697587239,,,0.8960621608031545,rising,,,,,,,0.7253750406972376,0.4433909289245243,0.6116972926729285,0.5550749355880539,-0.03425939515791469,0,4.694337688957212,,,1.2514285714285713,,0,false,,,,,,0.1139685697587239,88868000.0,2026-08-25,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,FiniteLivedIntangibleAssetsNet,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,ShareBasedCompensation,29863000.0,,,,,,,,,78.87,51.52,2026-08-27,6150000000.0,false,0.530861801242236,false,false,false,,false,0.207197657411679,false,false,"",,,
IPI,1421461,"INTREPID POTASH, INC.","",NYSE,1400,Mining & Quarrying of  Nonmetallic Minerals (No Fuels),us-gaap,10-Q,USD,1231,2025,2025-12-31,false,pass_stale,"",goodwill,carried_forward,never_acquired,carried_forward,intangibles,365,false,,486629000.0,4.986946803755029,25540000.0,20455000.0,0.017044997452468423,,0.04638076562366783,1.0487576183778715,,,false,,1.5526794024078183,298328000.0,11185000.0,10665000.0,55779000.0,30239000.0,false,false,0.7453720821316769,false,false,true,0.037492290364967415,false,-0.1575481129269787,5085000.0,491429000.0,0.0,4800000.0,83537000.0,,13174001.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,true,FAIL,true,FAIL,,0,5y,false,,,0.14339293540554032,0.13142556640337721,-1.4296736176305251,1.5526794024078183,2.9823530200383432,true,2,0.03574924244455767,,,1.1448446603272224,rising,,,,,,,,,0.04398743216223936,-0.012600687040985548,,0,,,4.543805717798954,,,0,false,,,40569000.0,,,0.03574924244455767,11729000.0,2026-08-25,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,,,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,ShareBasedCompensation,544000.0,,,,,,,,,37.38,34.68,2026-08-27,494170000.0,false,0.0778546712802769,false,false,false,,false,0.19329735537153636,false,true,"",,,
INOD,903651,INNODATA INC,"",Nasdaq,7374,Services-Computer Processing & Data Preparation,us-gaap,10-Q,USD,1231,2025,2025-12-31,true,pass,"","",reported,reported,reported,"",,false,,91083000.0,1.4527826978651999,35648000.0,24504000.0,0.044281439862037725,,0.22315027157513578,0.8070875028214581,,0.0028252067248661903,false,,0.6996145610278373,251663000.0,32181000.0,39873000.0,46752000.0,11104000.0,false,false,1.6118449702424154,false,false,true,0.12787338623476632,false,0.0036646499567847884,11144000.0,107145000.0,2079000.0,13983000.0,82216000.0,,35025000.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,false,PASS,false,0,5y,false,0.47139381757055454,0.34004567259753626,,0.39946177612579503,0.06894544890199426,0.6996145610278373,0.630669112125843,false,2,0.15843806995863516,,,-1.277283225818043,rising,,,,,,,0.7937824470862901,0.1977251838235294,0.544220485396956,0.5779631120168514,-0.030096270363488963,2,,,3.128214243393767,,,0,false,,,6889000.0,,711000.0,0.15843806995863516,41425000.0,2026-08-25,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,IntangibleAssetsNetExcludingGoodwill,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,ShareBasedCompensation,9244000.0,,,,,,,,,57.17,61.01,2026-08-26,1965656192.0,false,-0.06294050155712172,false,true,false,,false,0.15477342000185038,false,false,"",,,
APEI,1201792,"AMERICAN PUBLIC EDUCATION, INC.","",Nasdaq,8200,Services-Educational Services,us-gaap,10-Q,USD,1231,2025,2025-12-31,true,pass,tax_anomaly,"",reported,reported,reported,"",,false,,206968000.0,1.9635896948379123,46101000.0,37749000.0,0.01287176626154714,79430000.0,,0.6583289871701262,0.003535420474615558,0.0,true,0.1129036530769027,2.0229903536977494,648862000.0,31557000.0,47935000.0,61965000.0,15864000.0,false,false,,false,false,true,0.04863437834239021,false,-0.0804369364493918,8352000.0,294782000.0,59593000.0,28221000.0,174095000.0,94665000.0,18660000.0,false,PASS,false,PASS,false,PASS,false,PASS,false,PASS,false,false,PASS,,NOT_EVALUABLE,false,0,5y,false,0.022856962067168363,0.15058129401186227,0.9952631577075615,-0.014877705310855749,1.547523838818825,2.0229903536977494,0.47546651487892433,false,4,0.07387549278583119,0.07693646378793294,-0.003060971002101745,1.344714223019053,rising,668014000.0,45672000.0,,,,,0.06591476077898668,-0.03522027908110414,0.06190785835394498,0.05507907056756325,0.006462106680077881,0,,,0.8363850616388687,,,0,true,2294000.0,4262000.0,,,0.0,0.07387549278583119,,2026-08-25,PaymentsToAcquirePropertyPlantAndEquipment,StockholdersEquity,Goodwill,IntangibleAssetsNetExcludingGoodwill,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,OperatingIncomeLoss,ShareBasedCompensation,12148000.0,,,,,,,,,46.01,47.69,2026-08-27,842050000.0,false,-0.03522751100859719,false,true,false,,false,0.15431242923522298,false,false,"",,,
